['LOG', 'COUNTER', 'INTERPOLATED', 'RAW_CQ', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'TIMESTAMP', 'ES_TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
2016-10-05T18:35:00.095000 , 88.0 , 0.0 , 0.0 , 4295.38461538 , 4294.35897436 , 4297.94871795 , 4316.92307692 , 4185.12820513 , 4192.82051282 , 4193.84615385 , 4194.87179487 , 4194.35897436 , 4192.30769231 , 4210.76923077 , 4956.41025641 , 4102.56410256 , 4199.48717949 , 0.617969829608 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.095000 , 89.0 , 0.0 , 0.0 , 4291.28205128 , 4292.30769231 , 4296.92307692 , 4313.33333333 , 4193.33333333 , 4198.46153846 , 4196.41025641 , 4193.33333333 , 4194.87179487 , 4193.84615385 , 4217.43589744 , 4954.35897436 , 4114.35897436 , 4203.07692308 , 0.625285993434 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.096000 , 90.0 , 0.0 , 0.0 , 4297.43589744 , 4300.51282051 , 4307.69230769 , 4323.58974359 , 4201.53846154 , 4202.56410256 , 4198.46153846 , 4195.8974359 , 4194.87179487 , 4195.8974359 , 4209.23076923 , 4958.97435897 , 4098.46153846 , 4204.61538462 , 0.632602157261 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.096000 , 91.0 , 0.0 , 0.0 , 4292.30769231 , 4294.35897436 , 4293.84615385 , 4316.92307692 , 4197.43589744 , 4197.94871795 , 4190.25641026 , 4196.41025641 , 4196.92307692 , 4198.97435897 , 4226.15384615 , 4951.28205128 , 4109.74358974 , 4206.15384615 , 0.639918321088 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.096000 , 92.0 , 0.0 , 0.0 , 4309.74358974 , 4310.76923077 , 4307.17948718 , 4329.23076923 , 4205.12820513 , 4209.23076923 , 4198.97435897 , 4195.38461538 , 4195.38461538 , 4198.46153846 , 4223.58974359 , 4948.71794872 , 4096.41025641 , 4205.64102564 , 0.647234484915 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.097000 , 93.0 , 0.0 , 0.0 , 4307.17948718 , 4306.66666667 , 4310.25641026 , 4328.71794872 , 4206.66666667 , 4208.71794872 , 4200.0 , 4196.41025641 , 4196.41025641 , 4198.97435897 , 4218.46153846 , 4951.79487179 , 4082.56410256 , 4205.64102564 , 0.654550648742 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.097000 , 94.0 , 0.0 , 0.0 , 4318.46153846 , 4311.28205128 , 4324.1025641 , 4351.28205128 , 4203.58974359 , 4199.48717949 , 4194.35897436 , 4196.41025641 , 4197.94871795 , 4198.46153846 , 4220.51282051 , 4952.82051282 , 4075.38461538 , 4203.07692308 , 0.661866812568 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.097000 , 95.0 , 0.0 , 0.0 , 4321.53846154 , 4307.69230769 , 4327.17948718 , 4339.48717949 , 4195.8974359 , 4189.23076923 , 4187.17948718 , 4194.35897436 , 4196.92307692 , 4201.02564103 , 4231.79487179 , 4947.17948718 , 4084.61538462 , 4202.05128205 , 0.669182976395 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.097000 , 96.0 , 0.0 , 0.0 , 4321.53846154 , 4304.61538462 , 4340.0 , 4335.38461538 , 4190.25641026 , 4189.74358974 , 4189.74358974 , 4193.84615385 , 4197.94871795 , 4202.56410256 , 4222.05128205 , 4950.25641026 , 4066.15384615 , 4199.48717949 , 0.676499140222 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.097000 , 97.0 , 0.0 , 0.0 , 4320.0 , 4302.56410256 , 4350.76923077 , 4354.87179487 , 4197.43589744 , 4197.94871795 , 4195.8974359 , 4194.35897436 , 4200.51282051 , 4200.51282051 , 4210.25641026 , 4956.92307692 , 4050.25641026 , 4197.94871795 , 0.683815304049 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.097000 , 98.0 , 0.0 , 0.0 , 4302.05128205 , 4291.28205128 , 4336.41025641 , 4333.84615385 , 4202.56410256 , 4198.97435897 , 4196.92307692 , 4195.8974359 , 4200.51282051 , 4200.0 , 4218.97435897 , 4954.87179487 , 4066.15384615 , 4201.02564103 , 0.691131467876 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.098000 , 99.0 , 0.0 , 0.0 , 4296.92307692 , 4291.28205128 , 4327.17948718 , 4309.23076923 , 4198.46153846 , 4192.82051282 , 4187.69230769 , 4195.38461538 , 4196.41025641 , 4194.87179487 , 4212.82051282 , 4953.84615385 , 4063.58974359 , 4200.51282051 , 0.698447631702 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.098000 , 100.0 , 0.0 , 0.0 , 4287.69230769 , 4284.1025641 , 4301.02564103 , 4308.20512821 , 4192.30769231 , 4181.53846154 , 4174.35897436 , 4196.92307692 , 4195.8974359 , 4196.92307692 , 4217.43589744 , 4950.25641026 , 4086.15384615 , 4198.46153846 , 0.705763795529 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.098000 , 101.0 , 0.0 , 0.0 , 4288.20512821 , 4289.74358974 , 4297.94871795 , 4323.07692308 , 4199.48717949 , 4190.25641026 , 4187.69230769 , 4194.87179487 , 4195.8974359 , 4198.46153846 , 4210.76923077 , 4956.41025641 , 4096.41025641 , 4198.46153846 , 0.713079959356 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.098000 , 102.0 , 0.0 , 0.0 , 4284.1025641 , 4287.17948718 , 4305.64102564 , 4317.43589744 , 4193.84615385 , 4191.79487179 , 4192.82051282 , 4194.35897436 , 4195.8974359 , 4199.48717949 , 4216.92307692 , 4958.46153846 , 4092.82051282 , 4202.05128205 , 0.720396123183 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.098000 , 103.0 , 0.0 , 0.0 , 4315.38461538 , 4315.38461538 , 4327.69230769 , 4346.66666667 , 4201.53846154 , 4203.58974359 , 4202.56410256 , 4194.87179487 , 4192.30769231 , 4195.38461538 , 4215.38461538 , 4957.43589744 , 4073.84615385 , 4201.02564103 , 0.72771228701 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.099000 , 104.0 , 0.0 , 0.0 , 4301.53846154 , 4305.12820513 , 4294.87179487 , 4328.20512821 , 4197.94871795 , 4193.84615385 , 4194.87179487 , 4198.46153846 , 4194.35897436 , 4196.92307692 , 4233.84615385 , 4948.71794872 , 4113.33333333 , 4201.02564103 , 0.735028450836 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.099000 , 105.0 , 0.0 , 0.0 , 4306.15384615 , 4312.30769231 , 4305.12820513 , 4331.28205128 , 4193.84615385 , 4192.30769231 , 4197.43589744 , 4196.92307692 , 4196.41025641 , 4194.87179487 , 4216.41025641 , 4954.35897436 , 4103.07692308 , 4199.48717949 , 0.742344614663 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

